time,tmax,tmin
1880-01-01,39.44444444,25.77777778
1880-01-02,41.33333333,23.44444444
1880-01-03,41.38888889,21.11111111
1880-01-04,41.66666667,21.72222222
1880-01-05,40,18.88888889
1880-01-06,37.33333333,19.44444444
1880-01-07,38,20.66666667
1880-01-08,37.38888889,17.38888889
1880-01-09,38,21.11111111
1880-01-10,42.22222222,23.77777778
1880-01-11,40.27777778,23.33333333
1880-01-12,28.33333333,16.33333333
1880-01-13,29.16666667,14.44444444
1880-01-14,32,19.38888889
1880-01-15,39.77777778,19.88888889
1880-01-16,39.44444444,20.77777778
1880-01-17,35.55555556,17
1880-01-18,37.05555556,22.38888889
1880-01-19,35.33333333,18.77777778
1880-01-20,23.22222222,14.88888889
1880-01-21,25.33333333,12.77777778
1880-01-22,30.11111111,17.38888889
1880-01-23,38.33333333,19.33333333
1880-01-24,37.22222222,21.66666667
1880-01-25,43.33333333,19.44444444
1880-01-26,43.33333333,18.33333333
1880-01-27,41.66666667,19.05555556
1880-01-28,33.66666667,17.55555556
1880-01-29,33.11111111,18
1880-01-30,37.77777778,17.38888889
1880-01-31,31.66666667,16.38888889
1880-02-01,25.77777778,14.88888889
1880-02-02,26.38888889,14.44444444
1880-02-03,33.5,18.33333333
1880-02-04,38.61111111,20.66666667
1880-02-05,39.55555556,19.88888889
1880-02-06,30.88888889,19.16666667
1880-02-07,26.22222222,12.33333333
1880-02-08,25.55555556,11.88888889
1880-02-09,28.33333333,13.88888889
1880-02-10,31.11111111,15.27777778
1880-02-11,35.16666667,15.44444444
1880-02-12,42.22222222,20
1880-02-13,41.11111111,18.44444444
1880-02-14,34.38888889,17.94444444
1880-02-15,39,25.55555556
1880-02-16,43.05555556,18.33333333
1880-02-17,35.55555556,18.44444444
1880-02-18,27.22222222,15.77777778
1880-02-19,33.61111111,18.88888889
1880-02-20,36.55555556,19.66666667
1880-02-21,39.16666667,21.66666667
1880-02-22,39.22222222,18.55555556
1880-02-23,35.16666667,19.44444444
1880-02-24,34.33333333,16
1880-02-25,29.33333333,18.27777778
1880-02-26,32.38888889,15.55555556
1880-02-27,35,19.61111111
1880-02-28,35.55555556,18.33333333
1880-02-29,28.05555556,14.44444444
1880-03-01,27.11111111,17.22222222
1880-03-02,27.22222222,17.22222222
1880-03-03,27.38888889,14.83333333
1880-03-04,29.88888889,15
1880-03-05,31.61111111,15.72222222
1880-03-06,28.88888889,16.61111111
1880-03-07,28.33333333,16.88888889
1880-03-08,24.55555556,16.66666667
1880-03-09,27.77777778,14.88888889
1880-03-10,26.55555556,14.83333333
1880-03-11,30.66666667,15
1880-03-12,33.11111111,17.66666667
1880-03-13,34.33333333,17.77777778
1880-03-14,32.44444444,16.05555556
1880-03-15,30.27777778,18.5
1880-03-16,29.55555556,18.33333333
1880-03-17,25.44444444,10.55555556
1880-03-18,26.38888889,10
1880-03-19,26.44444444,13
1880-03-20,25.55555556,11.33333333
1880-03-21,29.77777778,12.88888889
1880-03-22,33.88888889,15.55555556
1880-03-23,23.77777778,10
1880-03-24,27.77777778,10
1880-03-25,29.44444444,15.27777778
1880-03-26,26.11111111,17.22222222
1880-03-27,31.11111111,24.44444444
1880-03-28,25,15
1880-03-29,25.55555556,14.72222222
1880-03-30,23.88888889,13.33333333
1880-03-31,23.88888889,11.11111111
1880-04-01,28.88888889,14.72222222
1880-04-02,28.33333333,15.55555556
1880-04-03,27.38888889,15
1880-04-04,27.38888889,10.55555556
1880-04-05,27.88888889,12.44444444
1880-04-06,30.72222222,15
1880-04-07,30.11111111,14.61111111
1880-04-08,30.72222222,15
1880-04-09,30.11111111,14.61111111
1880-04-10,33.33333333,14.55555556
1880-04-11,35.72222222,17.38888889
1880-04-12,31.94444444,
1880-04-13,24.88888889,11.66666667
1880-04-14,17.77777778,7.944444444
1880-04-15,20.16666667,11.83333333
1880-04-16,21.83333333,10.66666667
1880-04-17,22.77777778,11.77777778
1880-04-18,22.77777778,11.11111111
1880-04-19,23.83333333,14.83333333
1880-04-20,21.88888889,8.888888889
1880-04-21,18.88888889,6.666666667
1880-04-22,21.22222222,9.444444444
1880-04-23,22.22222222,9.111111111
1880-04-24,23.88888889,7.444444444
1880-04-25,25.55555556,9.444444444
1880-04-26,26.66666667,12.33333333
1880-04-27,21.05555556,6.111111111
1880-04-28,23.88888889,12.72222222
1880-04-29,22.11111111,10.5
1880-04-30,17.66666667,8.666666667
1880-05-01,20.94444444,10
1880-05-02,21.33333333,7.777777778
1880-05-03,23.77777778,9.944444444
1880-05-04,25.33333333,7.666666667
1880-05-05,24.88888889,8.166666667
1880-05-06,23,8.888888889
1880-05-07,22.22222222,10.55555556
1880-05-08,17.77777778,9.277777778
1880-05-09,20.05555556,11.66666667
1880-05-10,24.11111111,12.88888889
1880-05-11,24.33333333,7.555555556
1880-05-12,25.11111111,7.388888889
1880-05-13,23.55555556,7.777777778
1880-05-14,22.55555556,9.277777778
1880-05-15,24.05555556,14.11111111
1880-05-16,20.55555556,9.777777778
1880-05-17,21.83333333,8.888888889
1880-05-18,23.33333333,9.944444444
1880-05-19,23.11111111,13.77777778
1880-05-20,21.94444444,12.77777778
1880-05-21,20.11111111,14.44444444
1880-05-22,20,9.611111111
1880-05-23,20.11111111,
1880-05-24,21.94444444,12.38888889
1880-05-25,19.66666667,10
1880-05-26,18.88888889,13.44444444
1880-05-27,18.61111111,6.388888889
1880-05-28,18.88888889,6.666666667
1880-05-29,18.77777778,6.333333333
1880-05-30,20.55555556,7.555555556
1880-05-31,21.22222222,8.888888889
1880-06-01,22.77777778,9.444444444
1880-06-02,17.66666667,6.111111111
1880-06-03,20.16666667,6.555555556
1880-06-04,17.22222222,9.444444444
1880-06-05,14.55555556,7.777777778
1880-06-06,18.5,9.833333333
1880-06-07,19.33333333,6.055555556
1880-06-08,20,5.777777778
1880-06-09,22.11111111,6.666666667
1880-06-10,18.33333333,6.388888889
1880-06-11,18.44444444,7.222222222
1880-06-12,23.22222222,7.777777778
1880-06-13,16.83333333,10
1880-06-14,16.55555556,6.111111111
1880-06-15,16.11111111,5
1880-06-16,17.94444444,5.111111111
1880-06-17,17.44444444,14.55555556
1880-06-18,17.22222222,6.111111111
1880-06-19,15.55555556,6.111111111
1880-06-20,16.77777778,8.444444444
1880-06-21,16,8.222222222
1880-06-22,15.55555556,7.777777778
1880-06-23,14.66666667,6.111111111
1880-06-24,15.55555556,6.277777778
1880-06-25,16.11111111,6.666666667
1880-06-26,17.11111111,4.444444444
1880-06-27,16.11111111,5
1880-06-28,17.22222222,3.888888889
1880-06-29,20.44444444,6
1880-06-30,19.44444444,6.111111111
1880-07-01,19.33333333,6.111111111
1880-07-02,21.22222222,7.444444444
1880-07-03,16.66666667,2.666666667
1880-07-04,18.33333333,5
1880-07-05,17.22222222,3.888888889
1880-07-06,17.77777778,4.333333333
1880-07-07,19.11111111,3.333333333
1880-07-08,18.33333333,2.944444444
1880-07-09,18.44444444,5.111111111
1880-07-10,22.33333333,12.77777778
1880-07-11,17,11.38888889
1880-07-12,16.11111111,3.333333333
1880-07-13,17.38888889,3.444444444
1880-07-14,18.61111111,5.111111111
1880-07-15,18.22222222,6.444444444
1880-07-16,16.66666667,2.888888889
1880-07-17,18.05555556,5.777777778
1880-07-18,17.83333333,5.388888889
1880-07-19,19.77777778,4.444444444
1880-07-20,19.77777778,6.111111111
1880-07-21,20.55555556,8.888888889
1880-07-22,16.77777778,6
1880-07-23,15.55555556,2
