time,tmax,tmin
1880-01-01,38.49444444,26.09388889
1880-01-02,40.38333333,23.76055556
1880-01-03,40.43888889,21.42722222
1880-01-04,40.71666667,22.03833333
1880-01-05,39.05,19.04826923
1880-01-06,36.38333333,19.69089744
1880-01-07,37.05,20.98277778
1880-01-08,36.43888889,17.29642857
1880-01-09,37.05,21.42722222
1880-01-10,41.27222222,24.09388889
1880-01-11,39.32777778,23.64944444
1880-01-12,26.58947368,16.10666667
1880-01-13,27.684,14.4
1880-01-14,31.02807882,19.62663462
1880-01-15,38.82777778,20.205
1880-01-16,38.49444444,21.09388889
1880-01-17,34.60555556,16.84285714
1880-01-18,36.10555556,22.705
1880-01-19,34.38375242,18.91974359
1880-01-20,21.68888889,14.8
1880-01-21,23.4,12.9
1880-01-22,28.772,17.29642857
1880-01-23,37.38333333,19.56237179
1880-01-24,36.27222222,21.98277778
1880-01-25,42.38333333,19.69089744
1880-01-26,42.38333333,18.40564103
1880-01-27,40.71666667,19.24105769
1880-01-28,32.7589942,17.49285714
1880-01-29,32.21740812,18.01666667
1880-01-30,36.82777778,17.29642857
1880-01-31,30.62906404,16.15333333
1880-02-01,23.925,14.8
1880-02-02,24.6125,14.4
1880-02-03,32.59651838,18.40564103
1880-02-04,37.66111111,20.98277778
1880-02-05,38.60555556,20.205
1880-02-06,29.69802956,19.36958333
1880-02-07,24.425,12.46
1880-02-08,23.66666667,12.02
1880-02-09,26.58947368,13.86363636
1880-02-10,29.96403941,15.17272727
1880-02-11,34.2212766,15.33636364
1880-02-12,41.27222222,20.31611111
1880-02-13,40.16111111,18.53416667
1880-02-14,33.46305609,17.95119048
1880-02-15,38.05,25.87166667
1880-02-16,42.10555556,18.40564103
1880-02-17,34.60555556,18.53416667
1880-02-18,25.34545455,15.64
1880-02-19,32.70483559,19.04826923
1880-02-20,35.60555556,19.94794872
1880-02-21,38.21666667,21.98277778
1880-02-22,38.27222222,18.66269231
1880-02-23,34.2212766,19.69089744
1880-02-24,33.40889749,15.82666667
1880-02-25,27.876,18.34137821
1880-02-26,31.49359606,15.44545455
1880-02-27,34.05880077,19.8836859
1880-02-28,34.60555556,18.40564103
1880-02-29,26.19473684,14.4
1880-03-01,25.25454545,17.1
1880-03-02,25.34545455,17.1
1880-03-03,25.48181818,14.75
1880-03-04,28.516,14.9
1880-03-05,30.56256158,15.59333333
1880-03-06,27.364,16.39285714
1880-03-07,26.58947368,16.71428571
1880-03-08,22.7,16.45714286
1880-03-09,25.8,14.8
1880-03-10,24.8,14.75
1880-03-11,29.4320197,14.9
1880-03-12,32.21740812,17.62380952
1880-03-13,33.40889749,17.7547619
1880-03-14,31.56009852,15.87333333
1880-03-15,28.96650246,18.59842949
1880-03-16,28.132,18.40564103
1880-03-17,23.53333333,10.799
1880-03-18,24.6125,10.22857143
1880-03-19,24.675,13.1
1880-03-20,23.66666667,11.59416667
1880-03-21,28.388,13
1880-03-22,32.97562863,15.44545455
1880-03-23,22.13333333,10.22857143
1880-03-24,25.8,10.22857143
1880-03-25,28.004,15.17272727
1880-03-26,24.3,17.1
1880-03-27,29.96403941,24.76055556
1880-03-28,23,14.9
1880-03-29,23.66666667,14.65
1880-03-30,22.22222222,13.38181818
1880-03-31,22.22222222,11.3825
1880-04-01,27.364,14.65
1880-04-02,26.58947368,15.44545455
1880-04-03,25.48181818,14.9
1880-04-04,25.48181818,10.799
1880-04-05,25.95789474,12.58
1880-04-06,29.49852217,14.9
1880-04-07,28.772,14.55
1880-04-08,29.49852217,14.9
1880-04-09,28.772,14.55
1880-04-10,32.43404255,14.5
1880-04-11,34.77222222,17.29642857
1880-04-12,30.96157635,
1880-04-13,22.925,11.86
1880-04-14,16.98333333,8.454022989
1880-04-15,19.1825,11.98
1880-04-16,20.60555556,10.932
1880-04-17,21.33333333,11.94
1880-04-18,21.33333333,11.3825
1880-04-19,22.17777778,14.75
1880-04-20,20.64444444,9.33125
1880-04-21,18,7.324390244
1880-04-22,20.17777778,9.8
1880-04-23,20.88888889,9.51875
1880-04-24,22.22222222,8.040229885
1880-04-25,23.66666667,9.8
1880-04-26,24.89090909,12.46
1880-04-27,20.0365,6.755284553
1880-04-28,22.22222222,12.85
1880-04-29,20.8,10.7325
1880-04-30,16.86666667,9.136363636
1880-05-01,19.9095,10.22857143
1880-05-02,20.25555556,8.316091954
1880-05-03,22.13333333,10.18571429
1880-05-04,23.4,8.224137931
1880-05-05,22.925,8.659090909
1880-05-06,21.51111111,9.33125
1880-05-07,20.88888889,10.799
1880-05-08,16.98333333,9.659375
1880-05-09,19.10178571,11.86
1880-05-10,22.4,13
1880-05-11,22.55,8.132183908
1880-05-12,23.13333333,7.994252874
1880-05-13,21.95555556,8.316091954
1880-05-14,21.15555556,9.659375
1880-05-15,22.35555556,14.08181818
1880-05-16,19.465,10.05714286
1880-05-17,20.60555556,9.33125
1880-05-18,21.77777778,10.18571429
1880-05-19,21.6,13.75454545
1880-05-20,20.68333333,12.9
1880-05-21,19.14214286,14.4
1880-05-22,19.06142857,9.928571429
1880-05-23,19.14214286,
1880-05-24,20.68333333,12.52
1880-05-25,18.78,10.22857143
1880-05-26,18,13.47272727
1880-05-27,17.75,7.039837398
1880-05-28,18,7.324390244
1880-05-29,17.9,6.982926829
1880-05-30,19.465,8.132183908
1880-05-31,20.17777778,9.33125
1880-06-01,21.33333333,9.8
1880-06-02,16.86666667,6.755284553
1880-06-03,19.1825,7.210569106
1880-06-04,16.4,9.8
1880-06-05,13.79222222,8.316091954
1880-06-06,17.65,10.1
1880-06-07,18.42,6.698373984
1880-06-08,19.06142857,6.413821138
1880-06-09,20.8,7.324390244
1880-06-10,17.5,7.039837398
1880-06-11,17.6,7.856321839
1880-06-12,21.68888889,8.316091954
1880-06-13,16.03263708,10.22857143
1880-06-14,15.77023499,6.755284553
1880-06-15,15.34777778,5.633333333
1880-06-16,17.15,5.744444444
1880-06-17,16.63333333,14.5
1880-06-18,16.4,6.755284553
1880-06-19,14.79222222,6.755284553
1880-06-20,15.98015666,8.924242424
1880-06-21,15.23666667,8.712121212
1880-06-22,14.79222222,8.316091954
1880-06-23,13.90333333,6.755284553
1880-06-24,14.79222222,6.92601626
1880-06-25,15.34777778,7.324390244
1880-06-26,16.29503916,5.077777778
1880-06-27,15.34777778,5.633333333
1880-06-28,16.4,4.522222222
